term,estimate,conf.low,conf.high,tau,sector
(Intercept),-6.834848849330437,-10.198774150001164,-5.627408300343947,0.025,G
baseline,0.9786304225803865,0.9753807085452021,0.9846553476982225,0.025,G
(Intercept),-5.321834112501855,-7.765232159983285,-1.8450106391337693,0.05,G
baseline,0.9809380183984314,0.969547837973815,0.9926660663855191,0.05,G
(Intercept),1.9574429374793678,-1.5517344010885419,6.091534822832926,0.95,G
baseline,1.0259345021501818,1.0102213048829012,1.0422316201046193,0.95,G
(Intercept),2.2275947567207193,0.3407722533554711,5.664931270719106,0.975,G
baseline,1.0371917351699624,1.0161640663549012,1.0423579144833635,0.975,G
(Intercept),-0.8826809974204805,-6.16606185174448,3.499641326746422,0.025,T
baseline,0.917970765262253,0.8955587414114443,0.950053127001004,0.025,T
(Intercept),-0.13401251117073215,-3.946585169414829,2.1532131816149747,0.05,T
baseline,0.9354686985560416,0.9125675592102164,0.9525970062424828,0.05,T
(Intercept),8.216476758670428,-1.0623750772370286,15.097161178455574,0.95,T
baseline,1.0236019143774995,1.0002637541924815,1.0712719957414039,0.95,T
(Intercept),11.90087038013237,-3.377997113591943,21.77414509633224,0.975,T
baseline,1.0385989574181456,0.9873500958129906,1.1234252269045988,0.975,T
(Intercept),-8.380654666895865,-18.975093856755915,2.0153879077204078,0.025,TI
baseline,0.8843651008029861,0.7635522719753219,0.9495648542275652,0.025,TI
(Intercept),-8.6108632689232,-14.033427044203435,-3.604480515810537,0.05,TI
baseline,0.9380970907361778,0.9236891295831752,0.9583690427308275,0.05,TI
(Intercept),15.626726949303315,11.10956531584342,22.234973543937894,0.95,TI
baseline,0.9988141120664096,0.9771622041159717,1.0319459272975247,0.95,TI
(Intercept),17.725829029165194,11.485077769457755,22.962317729276954,0.975,TI
baseline,1.0145362323322924,0.9908114964163899,1.0490445792189231,0.975,TI
(Intercept),-7.181652639632745,-25.085896973536556,-1.5759333347444262,0.025,TS
baseline,0.9274674827850037,0.8910971928260479,0.9666390662558167,0.025,TS
(Intercept),-6.293609842345674,-11.401762568655904,-4.206374589437903,0.05,TS
baseline,0.9462207160748489,0.9204841701687743,0.9577894998331974,0.05,TS
(Intercept),16.38880894506562,6.1341712381445355,21.86202331036453,0.95,TS
baseline,1.0279312325982235,1.004738454879345,1.0792757143728804,0.95,TS
(Intercept),14.167145645279318,4.376441535663201,31.02448301212628,0.975,TS
baseline,1.071236887045621,1.0075068855763618,1.1362392325220387,0.975,TS
(Intercept),-9.187715977341949,-25.300536756195953,-3.9115959063629115,0.025,N
baseline,0.9560786769519797,0.9369541287432447,0.9922099637058598,0.025,N
(Intercept),-5.156754344762776,-11.857784506926446,-4.0068858770117135,0.05,N
baseline,0.9675904180366367,0.9585335654989029,0.9833217887346029,0.05,N
(Intercept),3.211959508666322,-0.9009032770047303,7.891523140518558,0.95,N
baseline,1.0485993105792106,1.0291478321490743,1.0652403709765124,0.95,N
(Intercept),3.7196318451247876,-2.029762789851735,11.188323177585431,0.975,N
baseline,1.0587307629561151,1.0318280950339649,1.070647001042542,0.975,N
(Intercept),-1.0599757263141814,-22.462904338065332,4.010694700595983,0.025,NI
baseline,0.9081771979063946,0.8817856651265802,0.9621726594639316,0.025,NI
(Intercept),-5.183737640079093,-12.962794794456915,2.43610791952946,0.05,NI
baseline,0.9427158866183256,0.9153028941886935,0.9643991915604009,0.05,NI
(Intercept),13.665749071399127,0.28339809852992504,27.27304982660926,0.95,NI
baseline,1.0142861678148511,0.978849372815472,1.0653612261967962,0.95,NI
(Intercept),13.781159447701778,4.114048037313228,50.5882724034114,0.975,NI
baseline,1.0383487800264803,0.9411294775939465,1.1000800202887697,0.975,NI
(Intercept),-23.017047309751845,-48.74236577124744,-9.896248398447241,0.025,NS
baseline,0.9734924953919077,0.9340004516219073,1.0398672703861251,0.025,NS
(Intercept),-10.862478433878405,-26.09345582687329,-2.9886700183176993,0.05,NS
baseline,0.9623282697725754,0.9320341935919974,0.99037870542005,0.05,NS
(Intercept),18.88023663148114,8.007037265319182,23.66951858502931,0.95,NS
baseline,1.0020879248347063,0.9898527169247946,1.040007714665948,0.95,NS
(Intercept),14.07589963099633,7.839139226200784,43.18884995271303,0.975,NS
baseline,1.0379335793357931,0.9562092915159672,1.0620031706755806,0.975,NS
