term,estimate,conf.low,conf.high,tau,sector
(Intercept),3.8275862068965587,1.8538362717719306,6.663168388404526,0.025,G
baseline,0.8620689655172412,0.5034901082477893,0.9109058828682036,0.025,G
(Intercept),0.9375000000000037,-0.8456839100298708,2.496861544866599,0.05,G
baseline,0.9374999999999999,0.9031904115342645,0.9698297820219561,0.05,G
(Intercept),0.2500000000000177,-0.7066861993161525,9.7479836243961,0.95,G
baseline,1.0357142857142854,0.9608392978644418,1.05925345054772,0.95,G
(Intercept),-0.9687500000000011,-3.2758555301002876,12.235182310608435,0.975,G
baseline,1.09375,0.9520019167226099,1.1419336612306825,0.975,G
(Intercept),18.258426966292134,17.46551889965772,20.879705503865303,0.025,T
baseline,0.46067415730337086,0.3971481234451565,0.6091482912491292,0.025,T
(Intercept),6.599999999999999,4.600967506859234,15.583043435515705,0.05,T
baseline,0.7999999999999999,0.5681395561789869,0.8754911848941015,0.05,T
(Intercept),1.0588235294117647,-0.8341072365353344,4.974493682906386,0.95,T
baseline,1.0588235294117647,0.9723890408962541,1.1207646153485562,0.95,T
(Intercept),-2.499999999999993,-13.36052688533858,5.304615710630994,0.975,T
baseline,1.1666666666666665,1.0009762674913563,1.4746318137764352,0.975,T
(Intercept),-3.2333333333333485,-27.95157512210199,-1.5036974384843154,0.025,TI
baseline,0.9666666666666668,0.9343502783262883,1.014650528055042,0.025,TI
(Intercept),-3.078125000000006,-5.652186355378316,-1.0242628989014684,0.05,TI
baseline,0.9843750000000001,0.9609679201781108,1.009703077508046,0.05,TI
(Intercept),0.828571428571445,-0.31592513922384174,7.171782863435305,0.95,TI
baseline,1.0285714285714282,0.9936647925624781,1.0414039592026165,0.95,TI
(Intercept),0.2666666666666468,-0.9604152620533338,8.649831846785712,0.975,TI
baseline,1.0444444444444447,0.9870899381394477,1.0692853029005749,0.975,TI
(Intercept),7.111111111111106,1.4095197742442038,14.623770923803573,0.025,TS
baseline,0.7777777777777779,0.5226427777577989,0.8306247655735426,0.025,TS
(Intercept),3.0833333333333313,1.9227381008882103,4.064848093282482,0.05,TS
baseline,0.8833333333333333,0.8681101696927992,0.9181812822673477,0.05,TS
(Intercept),4.808219178082185,4.031693614504911,8.526831182594007,0.95,TS
baseline,0.9863013698630139,0.9501994348586226,1.0129770285081743,0.95,TS
(Intercept),6,1.0841899137898685,8.645131474960435,0.975,TS
baseline,1,0.9630839292695612,1.0768819936613903,0.975,TS
(Intercept),0.9607843137254904,-4.609771736378572,1.702645994692134,0.025,N
baseline,0.8627450980392156,0.7955574555990689,1.012429449069976,0.025,N
(Intercept),-1.0625000000000002,-4.538639070905635,0.4081307047655639,0.05,N
baseline,0.96875,0.930126568661604,1.0220527491355167,0.05,N
(Intercept),3.0000000000000435,2.0888351208582296,7.933485141484962,0.95,N
baseline,0.9999999999999993,0.9243356786394807,1.0528032473987476,0.95,N
(Intercept),9.909090909090919,3.80062068906979,16.326529521967718,0.975,N
baseline,0.9090909090909088,0.8088421654977261,1.0223267811651322,0.975,N
(Intercept),-1.6666666666666667,-13.289637532411517,0.6587188251933791,0.025,NI
baseline,0.9298245614035088,0.8919131249105825,1.0448811252223882,0.025,NI
(Intercept),-2.2799999999999967,-5.13388766697921,-0.7369164021193195,0.05,NI
baseline,0.98,0.9413989614480999,1.0068231618078292,0.05,NI
(Intercept),4.000000000000009,0.30944316407332606,7.390488816262793,0.95,NI
baseline,1,0.9542945296686062,1.0812035435223468,0.95,NI
(Intercept),3.37142857142857,-0.6333063470431258,15.665110630603467,0.975,NI
baseline,1.042857142857143,0.8557475291393843,1.067179988504084,0.975,NI
(Intercept),0.2631578947368339,-19.67840427207637,2.133297118295587,0.025,NS
baseline,0.8684210526315791,0.8066984093445263,1.0494455691754652,0.025,NS
(Intercept),-0.40259740259740656,-4.276453478305247,0.8582182050676451,0.05,NS
baseline,0.9350649350649352,0.9153100702406299,1.0017792258938705,0.05,NS
(Intercept),1.5600000000000085,0.6276338610969614,6.733635086451951,0.95,NS
baseline,1.0399999999999998,0.9615849906673909,1.0547862500723646,0.95,NS
(Intercept),1.2666666666666757,0.6056674323575908,13.171343347802477,0.975,NS
baseline,1.0666666666666667,0.951613481569106,1.0799347370645203,0.975,NS
