term,estimate,conf.low,conf.high,tau,sector
(Intercept),-3.999999999999998,-5.884762885270758,-0.19680952185797226,0.025,G
baseline,1,0.9534968380224016,1.022637782130647,0.025,G
(Intercept),-2.9999999999999174,-5.3328178870843495,1.3678402855469176,0.05,G
baseline,0.9999999999999991,0.9496466187216478,1.0343256389455544,0.05,G
(Intercept),4.759493670886075,3.7018696885519464,8.95164150507585,0.95,G
baseline,0.9746835443037974,0.9352505960032195,0.9821414710846325,0.95,G
(Intercept),9.812499999999996,5.931455220014555,15.940696490002436,0.975,G
baseline,0.9375,0.8819644323874792,0.9825427439511781,0.975,G
(Intercept),-3.00000000000001,-7.501250991726218,3.375715971426944,0.025,T
baseline,1,0.8920093600346644,1.0574634193054209,0.025,T
(Intercept),-0.7857142857142878,-10.278638492977604,2.0003197084430564,0.05,T
baseline,0.9761904761904762,0.9240565449585476,1.0617727325518522,0.05,T
(Intercept),3.0000000000000058,3.0000000000000058,5.045248579445875,0.95,T
baseline,0.9999999999999999,0.9656566459851502,0.9999999999999999,0.95,T
(Intercept),4.0000000000000036,2.330205325719912,11.91699292777193,0.975,T
baseline,0.9999999999999999,0.914575097927967,1.0270970130350598,0.975,T
(Intercept),-9.163265306122453,-18.889147249641134,-2.6652378713466867,0.025,TI
baseline,1.0204081632653061,0.965252376489957,1.0774803390556713,0.025,TI
(Intercept),-4.000000000000005,-9.449705077140322,-2.423703401101997,0.05,TI
baseline,1,0.9893607272338416,1.0267343811754959,0.05,TI
(Intercept),3.999999999999999,3.999999999999999,6.710066097676389,0.95,TI
baseline,1.0000000000000002,0.9809817280388541,1.0079271529106186,0.95,TI
(Intercept),8.46296296296293,2.823211726881748,13.238064776560423,0.975,TI
baseline,0.9814814814814815,0.9681073955111493,1.0503725174961556,0.975,TI
(Intercept),-0.8888888888888856,-11.906009931014436,0.9999103728182104,0.025,TS
baseline,0.9444444444444444,0.9250558150677323,1.0222083401789679,0.025,TS
(Intercept),-0.4158415841584198,-2.370956331552107,1.1397726469986793,0.05,TS
baseline,0.9603960396039605,0.9415128856639015,0.972142005396452,0.05,TS
(Intercept),7.054545454545465,3.209093268698338,9.822230274311382,0.95,TS
baseline,0.9818181818181818,0.9562777797202661,1.0542869132966057,0.95,TS
(Intercept),10.218749999999993,7.683830872367417,40.018959956759986,0.975,TS
baseline,0.96875,0.9556272228131273,0.9977719725180696,0.975,TS
(Intercept),-5.000000000000015,-15.242757136153978,0.4636817760549013,0.025,N
baseline,1.0000000000000002,0.884378106872588,1.1044188531735373,0.025,N
(Intercept),-0.28124999999998646,-4.162220658153829,0.7458666102336107,0.05,N
baseline,0.9687499999999998,0.9508509845424679,0.9877797960668069,0.05,N
(Intercept),7.315789473684261,5.223680884971091,12.452469712140715,0.95,N
baseline,0.947368421052631,0.8949707460817716,0.9618606042485316,0.95,N
(Intercept),13.222222222222252,11.791171307602424,19.98341290992586,0.975,N
baseline,0.8888888888888885,0.8360429324295747,0.9013016056271692,0.975,N
(Intercept),0.09803921568627527,-5.917360028486082,2.4647788028531523,0.025,NI
baseline,0.9313725490196078,0.8892139631942392,0.9340535662536745,0.025,NI
(Intercept),0.8181818181818155,-0.6295151947799904,1.3156642449884228,0.05,NI
baseline,0.9393939393939396,0.927426712970051,0.9631193857922041,0.05,NI
(Intercept),5.242857142857167,1.8402987783851417,8.25923182817158,0.95,NI
baseline,0.9857142857142855,0.9659040928671113,1.032830052701405,0.95,NI
(Intercept),9.279999999999921,3.306468020410711,16.826111728245877,0.975,NI
baseline,0.9600000000000004,0.923164944449747,1.0533045970563413,0.975,NI
(Intercept),-3.8840579710144856,-9.479444012536952,-0.5771091311918294,0.025,NS
baseline,0.9710144927536232,0.9259970065560034,0.9956528200845793,0.025,NS
(Intercept),-1.164383561643843,-5.262186634160672,-0.7270108980260285,0.05,NS
baseline,0.9589041095890412,0.9529844465693008,0.9838071788435465,0.05,NS
(Intercept),4.499999999999999,-0.1887399098996386,21.34013195986092,0.95,NS
baseline,1.0357142857142858,0.8924981366907359,1.0772492461332026,0.95,NS
(Intercept),20.64130434782608,7.151023782751933,28.290556860090476,0.975,NS
baseline,0.9456521739130436,0.9098825234128649,0.955219892720703,0.975,NS
