term,estimate,conf.low,conf.high,tau,sector
(Intercept),8.480837563451637,7.703535921611933,14.735195070622868,0.025,Ret_G
baseline,0.9575779550398845,0.9384159710578784,0.9604461776692984,0.025,Ret_G
(Intercept),6.946945083853551,-1.6685052661113926,12.897885062118371,0.05,Ret_G
baseline,0.9654718842486038,0.9457934072718617,0.9927199794752474,0.05,Ret_G
(Intercept),2.1253073545551797,-4.1386394812978224,17.00894976230435,0.95,Ret_G
baseline,1.004939626783755,0.9629920037411415,1.0258884447289123,0.95,Ret_G
(Intercept),2.2356526946107405,-2.805845067950546,46.56138496470477,0.975,Ret_G
baseline,1.0071856287425152,0.897302587270446,1.023700198950179,0.975,Ret_G
(Intercept),11.952319123973345,6.496400152888085,17.210546484986796,0.025,Ret_TI
baseline,0.9464215877982012,0.9285876237720172,0.9645984012102262,0.025,Ret_TI
(Intercept),10.858788039163787,4.695535048829528,11.357315956440134,0.05,Ret_TI
baseline,0.9518391108758933,0.9495678819626513,0.9705956931363672,0.05,Ret_TI
(Intercept),13.825203480213116,-0.49157977042219037,39.98362226859419,0.95,Ret_TI
baseline,0.970249789503228,0.8909237201996294,1.0155608418559796,0.95,Ret_TI
(Intercept),38.437472570532485,-1.7431740879910027,62.153807794155846,0.975,Ret_TI
baseline,0.8992946708463962,0.8274519208776938,1.0132996800021161,0.975,Ret_TI
(Intercept),2.889455035624789,-13.839307737986625,8.712881349466935,0.025,Ret_I
baseline,0.9738108992875028,0.9545273555130557,1.0210175599041318,0.025,Ret_I
(Intercept),-0.15969845722303389,-5.308958043750141,6.965923925629413,0.05,Ret_I
baseline,0.984805984104722,0.9621456300139322,0.9983446677131729,0.05,Ret_I
(Intercept),-2.946047251249834,-9.300118805064574,17.896215686950985,0.95,Ret_I
baseline,1.021353930031805,0.9641428671459263,1.0426147846902338,0.95,Ret_I
(Intercept),4.337980041293789,-7.2039212492428755,33.176684991584374,0.975,Ret_I
baseline,1.0044735030970406,0.9196748203843423,1.0383667797430738,0.975,Ret_I
(Intercept),3.091177786060239,-12.471678772085788,13.116775381875533,0.025,Ret_NI
baseline,0.9731643682445029,0.9461693778852084,1.0190463799292113,0.025,Ret_NI
(Intercept),-1.3586980749749182,-4.106946769884822,9.17882696778882,0.05,Ret_NI
baseline,0.9903748733535975,0.9574119885122991,0.9977134488341777,0.05,Ret_NI
(Intercept),5.296997333333317,-3.6527104611048493,36.092467061630245,0.95,Ret_NI
baseline,0.9978666666666668,0.9117162729030984,1.0255146760649456,0.95,Ret_NI
(Intercept),20.780415759686765,-0.46341398347582435,51.325860978057676,0.975,Ret_NI
baseline,0.9562472790596424,0.8626346281759493,1.0183985450704296,0.975,Ret_NI
(Intercept),-12.904880134585849,-31.883002214835653,4.229523279275874,0.025,Ret_TS
